Ad group name,Ad group,Ad ID,Ad name,Campaign ID,Campaign name,Date,Earned impressions,Earned link clicks,Earned saves,Impressions,Link clicks,Paid impressions,Paid link clicks,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Spend in account currency
Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress_11.6.20_12.31.20,AG2680067008199,PP687209840641,Traffic | Sleep specialists trained to h,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/14/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210009864,Traffic | Veteran's Day 10.30.20_11.15.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/11/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210009864,Traffic | Veteran's Day 10.30.20_11.15.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/13/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210009864,Traffic | Veteran's Day 10.30.20_11.15.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/14/2021,5,0,0,5,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210009864,Traffic | Veteran's Day 10.30.20_11.15.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/15/2021,5,0,0,5,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210009864,Traffic | Veteran's Day 10.30.20_11.15.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/16/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210009864,Traffic | Veteran's Day 10.30.20_11.15.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/17/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/10/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/11/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/12/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/13/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/14/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/15/2021,1,0,0,1,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/16/2021,2,0,0,2,0,0,0,0,0,0,0,0,0
Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Furniture_11.6.20_12.31.20,AG2680067008198,PP687210010622,Traffic | Black Friday Preview 11.16.20_11.25.20,C626742989386,LOVF_Loves Furniture_Launch_Traffic__NAN_11.6.20_12.31.20,05/17/2021,3,0,0,3,0,0,0,0,0,0,0,0,0
