Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687208636712,2021-05-14,Traffic | Love your mattress & the price,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655426340
PP687208636712,2021-05-15,Traffic | Love your mattress & the price,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A21+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_Mattress 8/24/20_12/31/20,AG2680066347907,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655426340
PP687208636713,2021-05-08,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655426361
PP687208636714,2021-05-11,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,8,0,8,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687208636714,2021-05-12,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,6,0,6,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687208636714,2021-05-13,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687208636714,2021-05-14,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,8,0,8,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687208636714,2021-05-15,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,2,0,2,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687208636714,2021-05-16,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,9,0,9,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687208636714,2021-05-17,Traffic | Love your sofa & the price. Sh,PAUSED,0,Pinterest_Infeed_High Affinity_LAL_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_LAL_8/24/20_12/31/20,AG2680066347908,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,12,0,12,0,0,0,0,0,0,0,0,0,P753438212655426411
PP687209021890,2021-05-09,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-10,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,1,0,1,0,0,0,0,0,0,0,0,0,P753438212655958680
PP687209021890,2021-05-11,Traffic | Furniture Holiday Hosting | 10.19.20_10.29.20,PAUSED,0,Pinterest_Infeed_High Affinity_Core_A18+_Other DMP_Website_Landing Page Views_Mattress& Furniture_NAN_NAN_NAN_furniture 8/24/20_12/31/20,AG2680066347906,C626742511847,LOVF_Loves Furniture_Launch_Traffic__NAN_8.24.20_12.31.20,8,0,8,0,0,0,0,0,0,0,0,0,P753438212655958680
